                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0453,                0.73181,                 1.1057,                0.92872,                0.82088,                0.90244,                0.64909,                 1.0073,                0.64788,                 1.1124,              0.0086536,              0.0086536,              0.0086536
                     36,                 1.0438,                0.73219,                  1.104,                0.90891,                0.83648,                0.90106,                0.65219,                0.97585,                0.61117,                 1.1032,               0.008614,               0.008614,               0.008614
                     37,                 1.0344,                0.72377,                 1.1005,                0.89419,                0.84705,                0.90091,                0.65938,                0.98233,                0.62435,                 1.0961,              0.0085744,              0.0085744,              0.0085744
                     38,                 1.0315,                0.71831,                 1.0972,                0.88242,                0.82746,                0.88819,                0.64044,                 1.0169,                0.67536,                 1.1387,              0.0085348,              0.0085348,              0.0085348
                     39,                 1.0228,                0.70828,                 1.0918,                0.92405,                0.83357,                0.90118,                0.65537,                 1.0109,                0.63527,                 1.1064,              0.0084952,              0.0084952,              0.0084952
                     40,                 1.0269,                0.71406,                 1.0942,                0.93256,                0.82219,                0.90659,                0.66565,                0.96695,                0.62615,                 1.0975,              0.0084556,              0.0084556,              0.0084556
                     41,                 1.0177,                0.69907,                  1.087,                0.92127,                0.85042,                0.91393,                0.66952,                0.94638,                0.62514,                 1.0911,               0.008416,               0.008416,               0.008416
                     42,                 1.0149,                0.70004,                  1.086,                0.89776,                0.84186,                0.89966,                0.65187,                 1.0038,                0.65007,                 1.0938,              0.0083764,              0.0083764,              0.0083764
                     43,                 1.0057,                0.69272,                 1.0829,                 0.9226,                0.83221,                0.90238,                0.66852,                0.95064,                0.59532,                 1.0803,              0.0083368,              0.0083368,              0.0083368
                     44,                 1.0076,                0.68681,                  1.085,                0.92205,                 0.8442,                0.91084,                0.67488,                  0.945,                0.59826,                 1.0781,              0.0082972,              0.0082972,              0.0082972
                     45,                 1.0027,                0.69583,                 1.0883,                0.93493,                0.84665,                0.91517,                0.67873,                0.92998,                0.59543,                 1.0721,              0.0082576,              0.0082576,              0.0082576
                     46,                0.99168,                0.67383,                 1.0744,                  0.932,                0.83908,                0.91196,                0.67763,                0.94041,                0.59278,                 1.0851,               0.008218,               0.008218,               0.008218
                     47,                0.99306,                 0.6784,                  1.078,                0.93477,                0.84763,                0.91754,                0.68129,                0.94482,                0.56831,                 1.0691,              0.0081784,              0.0081784,              0.0081784
