                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6091,                 2.1795,                 1.4205,                0.63411,                0.53454,                 0.5589,                0.32882,                 1.3562,                 1.8059,                 1.3383,             0.00047351,             0.00047351,             0.00047351
                      2,                 1.4249,                 1.5219,                  1.339,                0.66571,                0.55225,                0.62057,                0.36695,                 1.3644,                 1.4854,                   1.37,             0.00094044,             0.00094044,             0.00094044
                      3,                 1.4232,                 1.3826,                 1.3198,                 0.7199,                0.63294,                0.69124,                0.41362,                 1.4087,                 1.2564,                 1.4245,              0.0013979,              0.0013979,              0.0013979
                      4,                  1.386,                 1.2758,                 1.3067,                0.71885,                0.60633,                 0.6695,                0.41219,                 1.4087,                 1.5581,                  1.458,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.3491,                 1.1993,                 1.2874,                0.81688,                0.65923,                 0.7428,                0.48149,                 1.2994,                 1.1038,                 1.3044,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.3119,                 1.1328,                 1.2681,                0.83197,                 0.6808,                 0.7746,                0.49763,                 1.2531,                 1.1279,                 1.3081,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.2912,                 1.0821,                 1.2523,                0.83734,                0.72518,                0.79329,                0.52694,                 1.2045,                0.97027,                 1.2547,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.2536,                 1.0194,                 1.2302,                0.88104,                0.71607,                0.81029,                0.52207,                 1.2348,                0.92183,                 1.2897,                0.00133,                0.00133,                0.00133
                      9,                 1.2477,                0.98498,                 1.2267,                0.87136,                0.69196,                0.79628,                0.54716,                 1.1586,                0.93742,                 1.2184,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.2362,                0.98095,                 1.2227,                0.85333,                0.74699,                0.81672,                0.53549,                 1.2086,                0.89206,                 1.2523,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.1967,                0.93404,                 1.2006,                0.83606,                0.75577,                0.82543,                0.56476,                 1.1511,                0.89122,                 1.2428,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.2047,                 0.9475,                  1.205,                0.85982,                0.77196,                 0.8479,                 0.5777,                 1.1449,                0.80313,                 1.2073,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.1769,                0.88914,                 1.1846,                0.86783,                0.76277,                0.83929,                0.57706,                 1.1341,                0.80311,                 1.2107,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.1701,                0.89506,                 1.1845,                0.87898,                0.78695,                0.85664,                0.58534,                 1.1211,                0.77314,                 1.1978,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.1481,                0.86734,                  1.171,                 0.8969,                0.77989,                0.86399,                 0.6068,                 1.0761,                0.76008,                 1.1579,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.1385,                0.85859,                  1.164,                0.85453,                0.78775,                0.85536,                0.59653,                  1.061,                 0.7521,                 1.1633,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.1269,                0.83595,                 1.1589,                0.88477,                0.78836,                0.86499,                0.59198,                 1.1186,                0.73881,                 1.1712,              0.0012026,              0.0012026,              0.0012026
                     18,                   1.13,                0.83718,                 1.1561,                0.87977,                0.80136,                0.87264,                 0.6061,                 1.0642,                0.76831,                 1.1474,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.1182,                0.82261,                 1.1557,                0.84379,                0.78075,                0.85277,                0.58597,                 1.1295,                0.82953,                 1.1712,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.1113,                0.80731,                 1.1456,                0.88391,                0.80098,                 0.8714,                0.62014,                 1.0577,                0.71857,                 1.1481,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.0931,                 0.7781,                 1.1383,                0.89409,                0.82518,                0.88607,                0.63489,                  1.048,                0.70806,                 1.1431,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.0858,                0.77272,                 1.1337,                0.85186,                0.82326,                0.87528,                0.62342,                 1.0378,                0.77493,                 1.1545,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.0877,                0.78242,                 1.1345,                0.90102,                0.80848,                0.88248,                0.63263,                 1.0334,                0.68344,                 1.1215,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.0741,                0.77314,                 1.1297,                0.89407,                0.81744,                0.87894,                0.61312,                 1.0845,                0.70734,                 1.1542,              0.0011036,              0.0011036,              0.0011036
                     25,                 1.0663,                0.76164,                 1.1247,                0.90015,                0.82445,                0.89289,                0.62554,                 1.0505,                0.68233,                 1.1411,              0.0010895,              0.0010895,              0.0010895
                     26,                 1.0559,                0.73719,                 1.1117,                0.90294,                0.84219,                0.90199,                0.64075,                 1.0143,                0.64573,                 1.1097,              0.0010753,              0.0010753,              0.0010753
